Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
France,2018,0.1221,POINT(1.888334 46.603354),FRA,96.14,-0.68457453,72,2.155068065,1.539463118,1.850815083,0.1032,0.4029,9.180000305,0.042362577,3.4
France,2019,0.1221,POINT(1.888334 46.603354),FRA,96.14,-0.68457453,72,2.155068065,1.539463118,1.850815083,0.1032,0.4029,9.098999977,0.042362577,3.4
Haiti,2018,0,POINT(-72.357097 19.139995),HTI,22.78714576,-3.551103306,20,1.087100437,0.199179707,12.48141112,0.095,0.4704,13.52600002,1.235212589,49.5
Haiti,2019,0,POINT(-72.357097 19.139995),HTI,22.78714576,-3.551103306,20,1.087100437,0.199179707,12.48141112,0.095,0.4704,13.48400021,1.235212589,49.5
Cyprus,2018,0.3962,POINT(33.145129 34.982302),CYP,108.87,-4.274772809,59,20.85872137,2.745155679,1.435491195,0.0939,0.3962,8.109000206,0.015494038,1.9
Cyprus,2019,0.3962,POINT(33.145129 34.982302),CYP,108.87,-4.274772809,59,20.85872137,2.745155679,1.435491195,0.0939,0.3962,7.916999817,0.015494038,1.9
Australia,2018,0.3349,POINT(134.755 -24.776109),AUS,37.64,-2.068505348,77,4.207922492,1.331877548,1.911400944,0.0929,0.8211,5.387000084,7.20768932,3.1
Australia,2019,0.3349,POINT(134.755 -24.776109),AUS,37.64,0.5043693,77,4.207922492,1.331877548,1.911400944,0.0929,0.8211,5.328000069,7.20768932,3.1
Tonga,2018,0.3782,,TON,41.27104116,-6.357628268,,3.341259855,-0.865346735,7.442245466,0.0869,0.6214,1.02699995,0.04650728,13.4
Tonga,2019,0.3782,,TON,41.27104116,-6.357628268,,3.341259855,-0.865346735,7.442245466,0.0869,0.6214,1.018000007,0.04650728,13.4
Denmark,2018,0.1049,POINT(12.470036 55.669425),DNK,45.53,6.967273674,88,0.327884742,1.817932898,0.813609467,0.0819,0.2333,4.974999905,0.513894525,3.6
Denmark,2019,0.1049,POINT(12.470036 55.669425),DNK,45.53,7.855833,88,0.327884742,1.817932898,0.813609467,0.0819,0.2333,4.830999851,0.513894525,3.6
Iceland,2018,0.082,POINT(-18.105901 64.984182),ISL,67.59,2.825836562,76,-1.679393076,1.601307982,2.682917683,0.0798,0.1913,2.917999983,2.40E-04,1.5
Iceland,2019,0.082,POINT(-18.105901 64.984182),ISL,67.59,5.810127,76,-1.679393076,1.601307982,2.682917683,0.0798,0.1913,2.950000048,2.40E-04,1.5
"Hong Kong SAR, China",2018,0.2128,POINT(114.184916 22.350627),HKG,0.06,4.289125668,76,23.83982516,2.182713538,2.407717452,0.062,0.4191,2.778000116,0.001194072,
"Hong Kong SAR, China",2019,0.2128,POINT(114.184916 22.350627),HKG,0.06,4.289125668,76,23.83982516,2.182713538,2.407717452,0.062,0.4191,2.75999999,0.001194072,
Marshall Islands,2018,0.0734,,MHL,33.7,23.96589653,,4.40714909,2.994982208,,0.0603,0.5207,4.739999771,0,27.4
Marshall Islands,2019,0.0734,,MHL,33.7,23.96589653,,4.40714909,2.994982208,,0.0603,0.5207,4.739999771,0,27.4
Sweden,2018,0.1968,POINT(14.520858 59.674971),SWE,43.4,1.704524455,85,1.622481445,0.965620049,1.953535301,0.06,0.2342,6.443999767,0.542100946,2.2
Sweden,2019,0.1968,POINT(14.520858 59.674971),SWE,43.4,3.904377,85,1.622481445,0.965620049,1.953535301,0.06,0.2342,6.837999821,0.542100946,2.2
Norway,2018,0.0673,POINT(9.099972 60.500021),NOR,27.94,7.226016818,84,-3.996760842,0.577326046,2.764831345,0.0586,0.2048,3.91899991,5.924530461,2.1
Norway,2019,0.0673,POINT(9.099972 60.500021),NOR,27.94,3.959721,84,-3.996760842,0.577326046,2.764831345,0.0586,0.2048,3.967000008,5.924530461,2.1
Eswatini,2018,0.1722,POINT(31.399132 -26.562481),SWZ,10.86654513,1.915890543,38,0.663696677,1.320645339,4.814942338,0.0582,0.4444,22.47699928,2.809621134,43
Eswatini,2019,0.1722,POINT(31.399132 -26.562481),SWZ,10.86654513,1.915890543,38,0.663696677,1.320645339,4.814942338,0.0582,0.4444,22.85400009,2.809621134,43
Kiribati,2018,0.0237,,KIR,23.08,37.99114125,,0.313886667,0.513904299,0.572015744,0.0511,0.5541,9.334500313,0.081663788,41.2
Kiribati,2019,0.0237,,KIR,23.08,37.99114125,,0.313886667,0.513904299,0.572015744,0.0511,0.5541,9.334500313,0.081663788,41.2
Portugal,2018,0.0198,POINT(-7.889626 40.033265),PRT,128.98,0.39758173,64,2.667806259,2.625968365,0.993715683,0.0468,0.1438,6.860000134,0.352397454,3.1
Portugal,2019,0.0198,POINT(-7.889626 40.033265),PRT,128.98,0.39758173,64,2.667806259,2.625968365,0.993715683,0.0468,0.1438,6.129000187,0.352397454,3.1
Bangladesh,2018,0.0925,POINT(90.293243 24.476878),BGD,18.19206855,-2.770869311,26,1.072976137,6.737017522,5.543621395,0.0454,0.209,4.308000088,0.655052405,25.1
Bangladesh,2019,0.0925,POINT(90.293243 24.476878),BGD,18.19206855,-2.770869311,26,1.072976137,6.737017522,5.543621395,0.0454,0.209,4.293000221,0.655052405,25.1
Malta,2018,0.0907,POINT(14.447691 35.888599),MLT,63.96,9.848035645,54,32.53578819,3.342797311,1.157823625,0.0414,0.1223,4.583000183,0,6.1
Malta,2019,0.0907,POINT(14.447691 35.888599),MLT,63.96,9.848035645,54,32.53578819,3.342797311,1.157823625,0.0414,0.1223,4.626999855,0,6.1
Vanuatu,2018,0.5794,POINT(168.106915 -16.525507),VUT,45.94828665,9.339021737,46,4.110492618,0.671832718,3.084526244,0.0413,0.7044,5.40899992,0.786780126,22.3
Vanuatu,2019,0.5794,POINT(168.106915 -16.525507),VUT,45.94828665,9.339021737,46,4.110492618,0.671832718,3.084526244,0.0413,0.7044,5.397999763,0.786780126,22.3
Tunisia,2018,0.0124,POINT(9.400138 33.843941),TUN,90.0340253,-11.10755553,43,2.480348174,1.315252125,7.30759176,0.0394,0.0104,15.47799969,2.40914468,14.6
Tunisia,2019,0.0124,POINT(9.400138 33.843941),TUN,90.0340253,-11.10755553,43,2.480348174,1.315252125,7.30759176,0.0394,0.0104,15.51000023,2.40914468,14.6
"Korea, Rep.",2018,0.0028,POINT(127.940856 36.558191),KOR,37.89,4.718252545,57,0.894102018,2.33217302,1.475862404,0.0392,0.4891,3.795000076,0.03439246,2.7
"Korea, Rep.",2019,0.0028,POINT(127.940856 36.558191),KOR,37.89,3.465721,57,0.894102018,2.33217302,1.475862404,0.0392,0.4891,3.713999987,0.03439246,2.7
Japan,2018,0.0178,POINT(139.239418 36.574844),JPN,247.98,3.514530802,73,0.520525138,0.992931322,0.97990367,0.0119,0.5406,2.444999933,0.027970849,1.8
Japan,2019,0.0178,POINT(139.239418 36.574844),JPN,247.98,3.555499,73,0.520525138,0.992931322,0.97990367,0.0119,0.5406,2.405999899,0.027970849,1.8
